import time: self [us] | cumulative | imported package
import time:      1442 |       1442 |                   pandas.compat.numpy.function
import time:       942 |        942 |                   pandas.core.array_algos.quantile
import time:      1355 |       1355 |                   pandas.core.sorting
import time:      3152 |       6890 |                 pandas.core.arrays.base
import time:      2683 |       2683 |                   pandas.core.nanops
import time:       709 |        709 |                   pandas.core.array_algos.masked_accumulations
import time:       749 |        749 |                   pandas.core.array_algos.masked_reductions
import time:      1100 |       1100 |                     pandas.core.util
import time:      2381 |       2381 |                     pandas._libs.hashing
import time:      1484 |       4965 |                   pandas.core.util.hashing
import time:      2882 |      11986 |                 pandas.core.arrays.masked
import time:      1847 |       1847 |                   pandas._libs.arrays
import time:       944 |        944 |                     pandas.core.arrays.numeric
import time:      1390 |       2334 |                   pandas.core.arrays.floating
import time:      1365 |       1365 |                   pandas.core.arrays.integer
import time:       799 |        799 |                       pandas.core.array_algos.transforms
import time:      1520 |       2319 |                     pandas.core.arrays._mixins
import time:       814 |        814 |                       pandas.core.strings
import time:      1191 |       1191 |                       pandas.core.strings.base
import time:      1657 |       3660 |                     pandas.core.strings.object_array
import time:      1679 |       7657 |                   pandas.core.arrays.numpy_
import time:      1932 |      15133 |                 pandas.core.arrays.string_
import time:       907 |        907 |                   pandas.tseries
import time:      1571 |       2477 |                 pandas.tseries.frequencies
import time:      5302 |     100453 |               pandas.core.arrays.arrow.array
import time:      1548 |     103392 |             pandas.core.arrays.arrow
import time:      1087 |       1087 |             pandas.core.arrays.boolean
import time:      5786 |       5786 |                 _csv
import time:      1426 |       7211 |               csv
import time:      1237 |       1237 |               pandas.core.accessor
import time:      1775 |       1775 |               pandas.core.base
import time:      1157 |       1157 |               pandas.io.formats
import time:      1108 |       1108 |               pandas.io.formats.console
import time:      3042 |      15529 |             pandas.core.arrays.categorical
import time:      2920 |       2920 |               pandas._libs.tslib
import time:       997 |        997 |                 pandas.core.array_algos.datetimelike_accumulations
import time:      3164 |       4161 |               pandas.core.arrays.datetimelike
import time:      1082 |       1082 |               pandas.core.arrays._ranges
import time:       922 |        922 |               pandas.tseries.offsets
import time:      3418 |      12501 |             pandas.core.arrays.datetimes
import time:      1559 |       1559 |               pandas.core.arrays.timedeltas
import time:      2967 |       4526 |             pandas.core.arrays.interval
import time:      1557 |       1557 |             pandas.core.arrays.period
import time:      2476 |       2476 |                   pandas._libs.sparse
import time:      1920 |       1920 |                   pandas.io.formats.printing
import time:      2350 |       6745 |                 pandas.core.arrays.sparse.array
import time:      1567 |       8311 |               pandas.core.arrays.sparse.accessor
import time:      1461 |       9772 |             pandas.core.arrays.sparse
import time:      1613 |       1613 |             pandas.core.arrays.string_arrow
import time:      1804 |     151775 |           pandas.core.arrays
import time:       948 |        948 |           pandas.core.flags
import time:       539 |        539 |                   backports_abc
import time:      2915 |       3453 |                 pandas._libs.internals
import time:       856 |        856 |                   pandas.core._numba
import time:      1010 |       1865 |                 pandas.core._numba.executor
import time:      2478 |       7795 |               pandas.core.apply
import time:       114 |        114 |                   gc
import time:      2150 |       2150 |                     pandas._libs.indexing
import time:       960 |        960 |                       pandas.core.indexes
import time:       485 |        485 |                           backports_abc
import time:      3629 |       4114 |                         pandas._libs.index
import time:      2358 |       2358 |                         pandas._libs.writers
import time:      2243 |       2243 |                         pandas._libs.join
import time:       985 |        985 |                         pandas.core.array_algos.putmask
import time:       776 |        776 |                         pandas.core.indexes.frozen
import time:      5020 |       5020 |                         pandas.core.strings.accessor
import time:      6627 |      22120 |                       pandas.core.indexes.base
import time:      1436 |       1436 |                         pandas.core.indexes.extension
import time:      2019 |       3454 |                       pandas.core.indexes.category
import time:      1886 |       1886 |                           pandas.core.indexes.range
import time:      1204 |       1204 |                             pandas.core.tools
import time:      1515 |       2719 |                           pandas.core.tools.timedeltas
import time:      2176 |       6780 |                         pandas.core.indexes.datetimelike
import time:      1017 |       1017 |                         pandas.core.tools.times
import time:      2908 |      10704 |                       pandas.core.indexes.datetimes
import time:      3464 |       3464 |                         pandas.core.indexes.multi
import time:      1201 |       1201 |                         pandas.core.indexes.timedeltas
import time:      3520 |       8184 |                       pandas.core.indexes.interval
import time:      1512 |       1512 |                       pandas.core.indexes.period
import time:      1832 |      48763 |                     pandas.core.indexes.api
import time:      2662 |      53574 |                   pandas.core.indexing
import time:       829 |        829 |                   pandas.core.sample
import time:      1023 |       1023 |                   pandas.core.array_algos.replace
import time:      3064 |       3064 |                       pandas.core.internals.blocks
import time:      1423 |       4487 |                     pandas.core.internals.api
import time:      1384 |       1384 |                       pandas.core.internals.base
import time:      1582 |       1582 |                         pandas.core.internals.ops
import time:      2136 |       3717 |                       pandas.core.internals.managers
import time:      2278 |       7378 |                     pandas.core.internals.array_manager
import time:      1483 |       1483 |                     pandas.core.internals.concat
import time:      1537 |      14884 |                   pandas.core.internals
import time:      1341 |       1341 |                   pandas.core.internals.construction
import time:       808 |        808 |                     pandas.core.methods
import time:       870 |        870 |                       pandas.core.reshape
import time:      1540 |       2410 |                     pandas.core.reshape.concat
import time:      1605 |       1605 |                         gzip
import time:      1795 |       1795 |                         mmap
import time:      3182 |       3182 |                         tarfile
import time:       917 |        917 |                         pandas.core.shared_docs
import time:      5334 |      12829 |                       pandas.io.common
import time:      3960 |      16789 |                     pandas.io.formats.format
import time:      1616 |      21621 |                   pandas.core.methods.describe
import time:       978 |        978 |                         pandas._libs.window
import time:      3290 |       4268 |                       pandas._libs.window.aggregations
import time:      2362 |       2362 |                         pandas._libs.window.indexers
import time:      1652 |       4014 |                       pandas.core.indexers.objects
import time:       842 |        842 |                       pandas.core.util.numba_
import time:      1023 |       1023 |                       pandas.core.window.common
import time:       994 |        994 |                       pandas.core.window.doc
import time:       987 |        987 |                       pandas.core.window.numba_
import time:       846 |        846 |                       pandas.core.window.online
import time:      4411 |       4411 |                       pandas.core.window.rolling
import time:      3151 |      20531 |                     pandas.core.window.ewm
import time:      2952 |       2952 |                     pandas.core.window.expanding
